day,collateral_value,shortfall
2,9960880.872000288,19783.422356996685
3,9902017.142859258,78647.15149802715
4,9911039.459917614,69624.83443967067
5,9920071.11705564,60593.17730164528
6,9859347.005371897,121317.28898538835
7,9830000.396448702,150663.89790858328
8,9847940.42634089,132723.86801639572
9,9827211.14352617,153453.1508311145
10,9844913.375318868,135750.91903841682
11,9862742.938374314,117921.35598297045
12,9853474.99373381,127189.30062347464
13,9927049.55392239,53614.74043489434
