day,yield,collateral_value,exposure,cured_collateral_value
0,0.05024835707650562,9980664.294357285,0.0,9980664.294357285
1,0.05017922492592003,9986041.985802665,-5270.137616474181,9986041.985802665
2,0.05050306919497037,9960880.872000288,19387.75390985608,9980664.294357285
3,0.05126458412317439,9902017.142859258,77074.20846806653,9980664.294357285
4,0.05114750743581272,9911039.459917614,68232.33775087632,9989686.611415641
5,0.05103043895733813,9920071.11705564,59381.31375561096,9998718.268553667
6,0.05182004536509182,9859347.005371897,118890.9432056807,9980664.294357285
7,0.05220376272966828,9830000.396448702,147650.61995041184,9980664.294357285
8,0.051969025536700804,9847940.42634089,130069.39065606706,9998604.324249472
9,0.05224030555849379,9827211.14352617,150384.08781449124,9980664.294357285
10,0.05200859671208755,9844913.375318868,133035.90065764822,9998366.526149983
11,0.05177573183530242,9862742.938374314,115562.92886331119,10016196.089205429
12,0.05189671297108544,9853474.99373381,124645.51461100392,10006928.144564925
13,0.05094007284875654,9927049.55392239,52542.44562619552,10080502.704753505
14,0.05007761393250003,9993952.53613128,-13022.476938515902,10147405.686962394
15,0.04979647016787954,10015879.558702972,-34510.95905877277,10169332.709534086
16,0.049290054607712325,10055523.275444694,-73361.8014656622,10208976.426275808
17,0.04944717827400996,10043202.8609155,-61287.795227052644,10196656.011746615
18,0.04899316623624936,10078852.960594783,-96224.89291274734,10232306.111425897
19,0.048287014385581715,10134606.687158996,-150863.54494567774,10288059.83799011
20,0.04901983877004249,10076754.337173732,-94168.24196011946,10230207.488004846
21,0.048906950619799223,10085640.118436087,-102876.3075972274,10239093.269267201
22,0.04894071472214318,10082981.445623372,-100270.8082407657,10236434.596454486
23,0.048228340629036456,10139256.010030124,-155419.88135938346,10292709.160861239
24,0.04795614926677386,10160858.310531884,-176590.13585110754,10314311.461362999
25,0.048011610561628795,10156452.14464326,-172272.0932802558,10309905.295474375
26,0.04743611377291765,10202285.639310926,-217188.9180545695,10355738.79014204
27,0.04762396278209048,10187297.58682148,-202500.62661491148,10340750.737652594
28,0.04732364343713108,10211272.160442797,-225995.70876380242,10364725.311273912
29,0.04717779656223444,10222939.768290574,-237429.96445462294,10376392.919121688
30,0.04687694325611974,10247058.70247308,-261066.51995348,10400511.853304194
31,0.047803082348374215,10173030.83626835,-188519.21107284538,10326483.987099465
32,0.047796333736005246,10173567.920277728,-189045.55340203457,10327021.071108842
33,0.047267478271527295,10215763.411424797,-230397.134726163,10369216.562255912
34,0.04767875072757889,10182931.196703278,-198221.56429907307,10336384.347534392
35,0.047068328902593375,10231707.665902376,-246022.50411419012,10385160.81673349
36,0.04717276070009575,10223342.920196,-237825.0533219427,10376796.071027115
37,0.04619292563815587,10302151.774221385,-315057.7302668188,10455604.9250525
38,0.04552883261370665,10355982.814295463,-367812.1495394148,10509435.965126578
39,0.045627263231641214,10347982.670078397,-359972.00820668973,10501435.820909511
40,0.04599649652163892,10318038.94063546,-330627.15335261077,10471492.091466574
41,0.04608218066223391,10311105.179246781,-323832.06719170697,10464558.330077896
42,0.04602435652103978,10315783.826388847,-328417.14139093086,10469236.977219962
43,0.045873804673245144,10327977.262357526,-340366.7086402364,10481430.41318864
44,0.045134543678061426,10388104.404009726,-399291.3074593935,10541557.55484084
45,0.044774621573864075,10417531.292785103,-428129.65845926106,10570984.443616217
46,0.04454430218838418,10436414.781835329,-446635.4777284842,10589867.932666443
47,0.04507286330149364,10393140.201766407,-404226.38926094025,10546593.352597522
48,0.04524467244627787,10379120.436160866,-390487.01896750927,10532573.58699198
49,0.0443631523685965,10451295.967449388,-461219.0396302603,10604749.118280502
50,0.0445251943532939,10437983.25508544,-448172.581513593,10591436.405916555
51,0.04433265321308574,10453803.944673162,-463676.85730955936,10607257.095504276
52,0.04399419221293276,10481684.73750548,-491000.0342852324,10635137.888336595
53,0.04430003035735319,10456487.359715143,-466306.6040507015,10609940.510546258
54,0.04481553011860117,10414181.585580073,-424846.94539833255,10567634.736411188
55,0.04528117017815927,10376145.132599616,-387571.2214774862,10529598.28343073
56,0.04486156141654795,10410413.967078142,-421154.67926643975,10563867.117909256
57,0.04470695522862234,10423074.859047212,-433562.35339612886,10576528.009878326
58,0.044872586944324125,10409511.78221444,-420270.5381000135,10562964.933045555
59,0.045360359507885306,10369693.140410582,-381248.26913223043,10523146.291241696
60,0.04512077238896266,10389228.483885745,-400392.9057378918,10542681.63471686
61,0.04502794290063075,10396809.512230642,-407822.3135158904,10550262.663061757
62,0.04447477541362774,10442123.276833199,-452229.8028263971,10595576.427664313
63,0.043876672101587404,10491386.45323859,-500507.71570367925,10644839.604069704
64,0.0442829350127845,10457893.880673854,-467684.99459023774,10611347.031504968
65,0.044961055027069916,10402276.127913473,-413179.5968850646,10555729.278744588
66,0.044925049966279745,10405220.187896704,-416064.77566863224,10558673.338727819
67,0.04542681641522576,10364282.267180078,-375945.6133663375,10517735.418011192
68,0.04560763442774957,10349577.44420039,-361534.8868462425,10503030.595031504
69,0.045285074550447016,10375826.908241916,-387259.36160693876,10529280.059073031
70,0.04546577235320122,10361112.08787385,-372838.8376462348,10514565.238704965
71,0.0462347906364342,10298769.559278794,-311743.159623079,10452222.710109908
72,0.04621687761687923,10300216.562957454,-313161.2232281659,10453669.713788569
73,0.046999199444786234,10237249.327791817,-251453.33276584186,10390702.478622932
74,0.04568932689274136,10342942.159265487,-355032.30761003867,10496395.310096601
75,0.04610027814492897,10309641.408665778,-322397.5720223244,10463094.559496893
76,0.04614380167904806,10306122.14193524,-318948.6906263977,10459575.292766355
77,0.045994298003815125,10318216.923954515,-330801.57700528577,10471670.07478563
78,0.046040178392082874,10314503.397743361,-327162.32131835446,10467956.548574476
79,0.04504639393478243,10395302.155414946,-406345.10383650847,10548755.30624606
80,0.04493655799086367,10404279.090982292,-415142.50069250725,10557732.241813406
81,0.045115114276619545,10389690.369208967,-400845.5533546489,10543143.520040082
82,0.045854061298990306,10329577.600947319,-341935.040458234,10483030.751778433
83,0.04559492618985348,10350610.103967994,-362546.8934184965,10504063.254799109
84,0.04519067938840689,10383523.851992434,-394802.36648244597,10536977.002823548
85,0.044939800866614615,10404013.915425126,-414882.62864648364,10557467.06625624
86,0.045397501925465655,10366668.611353558,-378284.23065634817,10520121.762184672
87,0.0455618774802955,10353296.194451846,-365179.2620926704,10506749.34528296
88,0.04529699737841198,10374855.215676803,-386307.102893129,10528308.366507918
89,0.045553631094968655,10353966.564772204,-365836.22500662133,10507419.715603318
